 lat lon order_time pizza_amount shoarma_amount burger_amount fries_amount snack_amount french_amount spanish_amount italian_amount greek_amount german_amount african_amount mexican_amount argentine_amount indian_amount chinese_amount sushi_amount luxe_amount
0 48.8371753035 2.2800817048 16:00:02 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
1 48.8859052297 2.3796174423 16:15:59 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
2 48.8550549376 2.2724132951 16:57:57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0
3 48.8806732509 2.3941168463 17:07:30 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
4 48.8887076708 2.3354059291 17:14:56 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 48.8942844940 2.3457425823 17:23:00 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0
6 48.8864576482 2.3802947854 17:23:15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
7 48.8326501593 2.3189825760 17:32:42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0
8 48.8387147992 2.2929117323 17:37:26 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
9 48.8437577432 2.3061326532 17:41:18 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0
10 48.8608493389 2.2790046829 17:42:23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
11 48.8907266796 2.3292310318 17:43:08 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
12 48.8699811665 2.3109560415 17:44:31 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
13 48.8714746786 2.3154908190 17:44:58 2 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0
14 48.8525843284 2.3405686729 17:45:05 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
15 48.8835173537 2.3128394733 17:46:32 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
16 48.8541260444 2.3650254784 17:47:04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0
17 48.8593826963 2.3492634544 17:48:15 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
18 48.8892551221 2.3182241306 17:51:38 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
