order_index Customer_coordinate 1st_restaurant Duration_restaurant1 Distance_restaurant_1 Route_cost_1 2nd_restaurant Duration_restaurant_2 Distance_restaurant_2 Route_cost_2 3rd_restaurant Duration_restaurant_3 Distance_restaurant_3 Route_cost_3 Pizza_order_amount production_time_restaurant_1 production_time_restaurant_2 production_time_restaurant_3 capacity_restaurant_1 capacity_restaurant_2 capacity_restaurant_3 Actual_production_time_1 Actual_production_time_2 Actual_production_time_3 vehicle_type_1 vehicle_type_2 vehicle_type_3 total_vehicle_cost_1 total_vehicle_cost_2 total_vehicle_cost_3 Total_cost_restaurant_1 Total_cost_restaurant_2 Total_cost_restaurant_3
0 0 5441 7 2.87 892 448.87 13 8.95 3109 1563.45 2 8.23 2290 1153.23 2 12 6 7 2 11 5 12.0 7.0 6.0 0 0 0 0.90418 1.6434800000000003 1.4729800000000002 -0.5280769636126863 -0.4481305691332832 -0.43121977987116966
1 14 1026 4 10.35 6229 3124.85 13 18.4 6072 3054.4 7 14.42 4741 2384.92 1 12 6 12 3 11 2 12.0 6.0 12.0 0 0 0 2.4837566666666664 2.9080833333333334 2.9911833333333333 0.010432676678492542 0.40052839729606826 0.4636227325828457
2 16 10727 7 6.57 1855 934.07 3 6.6 1825 919.1 8 8.02 2341 1178.52 2 12 13 13 2 2 1 13.0 12.0 26.0 0 0 0 0.7433066666666667 1.2033866666666666 1.0964866666666666 -0.5723751602452063 -0.46743119106710385 -0.35190421128508165
3 24 1258 9 9.37 3272 1645.37 1 8.57 3103 1560.07 11 6.18 1941 976.68 1 12 8 14 3 5 2 14.0 8.0 12.0 0 0 0 1.1166733333333334 1.4819633333333333 1.26403 -0.5772773827033821 -0.4538229315304497 -0.29186620591119855
4 45 226 15 9.43 3289 1653.93 11 12.15 3894 1959.15 9 9.08 2849 1433.58 2 10 14 12 5 2 3 12.0 10.0 14.0 0 0 0 1.5385066666666667 1.3805399999999999 1.9187499999999997 -0.41546822571937336 -0.26578250404546966 -0.059833920424326496
5 59 11004 2 7.6 2164 1089.6 7 0.22 48 24.22 3 10.25 2817 1418.75 6 7 12 13 5 2 2 36.0 8.4 39.0 1 1 1 0.1908266666666667 2.065363333333333 2.020723333333333 -0.2610185242711014 -0.248868335125925 0.3846548737067824
6 93 11232 4 5.9 2599 1305.4 13 11.33 4215 2118.83 7 19.97 6863 3451.47 2 12 6 12 3 11 2 12.0 6.0 12.0 0 0 0 1.1585033333333334 1.8485333333333331 2.8964600000000003 -0.30939518374603925 -0.1606355858073698 0.2076085918797411
7 97 3969 0 8.1 2140 1078.1 6 9.53 3194 1606.53 13 6.78 2073 1043.28 1 12 9 6 1 5 11 6.0 12.0 9.0 0 0 0 1.1760866666666667 1.3123533333333333 1.88652 -0.5175842875974469 -0.3925954412136462 -0.2261613247380565
8 100 11089 9 12.25 4676 2350.25 14 9.58 3144 1581.58 15 16.62 5827 2930.12 1 12 10 10 3 1 5 10.0 12.0 10.0 0 0 0 1.8018366666666665 1.8680999999999996 2.4460533333333334 -0.16410397088063808 -0.0422183530050636 0.005499991141036491
9 105 4872 13 4.0 1203 605.5 7 10.93 3351 1686.43 0 11.87 3173 1598.37 1 6 12 12 11 2 1 6.0 12.0 12.0 0 0 0 0.6577933333333333 1.8308233333333332 2.1395733333333333 -0.5239227715372878 -0.2800353846784115 -0.23490830166948895
