order_index "Customer coordinate" "order time" "1st restaurant" "Duration restaurant 1" "Distance restaurant 1" "Route_cost 1" "2nd restaurant" "Duration restaurant 2" "Distance restaurant 2" "Route_cost 2" "3rd restaurant" "Duration restaurant 3" "Distance restaurant 3" "Route_cost 3" "Pizza order amount" "production time restaurant 1" "production time restaurant 2" "production time restaurant 3" "capacity restaurant 1" "capacity restaurant 2" "capacity restaurant 3" "Actual production time 1" "Actual production time 2" "Actual production time 3" "vehicle type 1" "vehicle type 2" "vehicle type 3" "total vehicle cost 1" "total vehicle cost 2" "total vehicle cost 3" "Total cost restaurant 1" "Total cost restaurant 2" "Total cost restaurant 3"
0 5441 15:16:49 7 2.87 892 448.87 13 8.95 3109 1563.45 2 8.23 2290 1153.23 2 12 6 7 2 11 5 12.0 7.0 6.0 0 0 0 0.90418 1.6434800000000003 1.4729800000000002 -0.6673217884794165 -0.6007968526893811 -0.5090022271168992
14 1026 16:27:31 4 10.35 6229 3124.85 13 18.4 6072 3054.4 7 14.42 4741 2384.92 1 12 6 12 3 11 2 12.0 6.0 12.0 0 0 0 2.4837566666666664 2.9080833333333334 2.9911833333333333 0.1539201561480104 0.5928035426215529 0.7297349988205936
16 10727 16:33:53 7 6.57 1855 934.07 3 6.6 1825 919.1 8 8.02 2341 1178.52 2 12 13 13 2 2 1 13.0 12.0 26.0 0 0 0 0.7433066666666667 1.2033866666666666 1.0964866666666666 -0.7441400784949985 -0.6479599547336481 -0.578012513425026
24 1258 16:38:02 9 9.37 3272 1645.37 1 8.57 3103 1560.07 11 6.18 1941 976.68 1 12 8 14 3 5 2 14.0 8.0 12.0 0 0 0 1.1166733333333334 1.4819633333333333 1.26403 -0.7707032453129243 -0.566097461004963 -0.3765801673530696
45 226 17:02:36 15 9.43 3289 1653.93 11 12.15 3894 1959.15 9 9.08 2849 1433.58 2 10 14 12 5 2 3 12.0 10.0 14.0 0 0 0 1.5385066666666667 1.3805399999999999 1.9187499999999997 -0.5494018323990296 -0.3314930682684555 -0.0362953756477135
59 11004 17:10:35 7 0.22 48 24.22 2 7.6 2164 1089.6 3 10.25 2817 1418.75 6 12 7 13 2 5 2 36.0 8.4 39.0 1 1 1 0.1908266666666667 2.065363333333333 2.020723333333333 -0.5711766593667594 -0.24870726834304083 0.3388361024550492
93 11232 17:27:39 4 5.9 2599 1305.4 13 11.33 4215 2118.83 7 19.97 6863 3451.47 2 12 6 12 3 11 2 12.0 6.0 12.0 0 0 0 1.1585033333333334 1.8485333333333331 2.8964600000000003 -0.3833745683365807 -0.19462864227019044 0.33261852555741533
97 3969 17:30:11 0 8.1 2140 1078.1 6 9.53 3194 1606.53 13 6.78 2073 1043.28 1 12 9 6 1 5 11 6.0 12.0 9.0 0 0 0 1.1760866666666667 1.3123533333333333 1.88652 -0.6660792405586426 -0.4645930656562659 -0.29562840612589153
100 11089 17:31:04 9 12.25 4676 2350.25 15 16.62 5827 2930.12 14 9.58 3144 1581.58 1 12 10 10 3 5 1 10.0 12.0 10.0 0 0 0 1.8018366666666665 1.8680999999999996 2.4460533333333334 -0.1939185416828879 0.042649737519365016 0.04889695778303907
105 4872 17:34:28 13 4.0 1203 605.5 7 10.93 3351 1686.43 0 11.87 3173 1598.37 1 6 12 12 11 2 1 6.0 12.0 12.0 0 0 0 0.6577933333333333 1.8308233333333332 2.1395733333333333 -0.7263962984952504 -0.30267025561666383 -0.27268335034944974
