order_index "Customer coordinate" "1st restaurant" "Duration restaurant 1" "Distance restaurant 1" "Route_cost 1" "2nd restaurant" "Duration restaurant 2" "Distance restaurant 2" "Route_cost 2" "3rd restaurant" "Duration restaurant 3" "Distance restaurant 3" "Route_cost 3" "Pizza order amount" "production time restaurant 1" "production time restaurant 2" "production time restaurant 3" "capacity restaurant 1" "capacity restaurant 2" "capacity restaurant 3" "vehicle type 1" "Min vehicle cost 1" "vehicle type 2" "Min vehicle cost 2" "vehicle type 3" "Min vehicle cost 3" "Total cost restaurant 1" "Total cost restaurant 2" "Total cost restaurant 3"
0 1026 6 855 4718 3214.0 12 911 4903 3362.5 2 967 5348 3641.0 2 9 13 7 5 1 5 2 1100.9295 2 1107.5090833333334 2 1107.6203333333333 6542.6885 6691.32725 6989.561
14 10727 2 122 589 416.5 7 365 1891 1310.5 6 444 2067 1477.5 1 7 12 9 5 2 5 2 1014.3805833333333 2 1043.0560833333332 2 1043.1000833333333 3485.3417499999996 4450.8682499999995 4632.70025
16 1258 8 357 2131 1422.5 10 404 2143 1475.5 0 509 3010 2014.0 2 13 9 12 1 12 1 2 1042.1827500000002 2 1047.6690833333334 2 1047.8858333333335 4555.348250000001 4679.40725 5163.8575
24 226 14 390 2015 1397.5 8 520 3085 2062.5 13 665 4221 2775.5 1 10 13 6 1 1 11 2 1046.00375 2 1061.4379166666668 2 1061.7219166666666 4541.5112500000005 5253.11375 6016.2657500000005
45 11004 6 79 324 241.0 2 503 2396 1701.0 1 535 2437 1753.5 2 9 7 8 5 5 5 2 1009.2976666666667 2 1059.2823333333333 2 1059.2925833333334 3294.793 4904.547 4957.17775
59 11232 12 595 3555 2372.5 3 433 3918 2392.0 16 968 7710 4823.0 6 13 13 10 1 2 11 2 1070.3054166666668 2 1051.4961666666666 2 1052.4441666666667 5589.71625 5557.7885 8036.3325
93 3969 12 410 2119 1469.5 6 720 3654 2547.0 1 751 3996 2749.0 2 13 9 8 1 5 5 2 1048.3630833333332 2 1084.9135 2 1084.999 4620.889249999999 5827.6405 6029.7970000000005
97 11089 8 552 3384 2244.0 13 672 3873 2608.5 14 945 5445 3667.5 1 13 6 10 1 11 1 2 1065.246 2 1079.36825 2 1079.76125 5446.0380000000005 5902.20475 6912.7837500000005
100 4872 12 216 1243 837.5 6 775 4023 2786.5 1 813 4430 3028.0 1 13 9 8 1 5 5 2 1025.5107500000001 2 1091.4224166666668 2 1091.5241666666668 3920.3322500000004 6086.66725 6328.3725
105 1349 11 94 557 372.5 7 249 1513 1005.5 2 424 2512 1680.0 1 14 12 7 2 2 5 2 1011.1059166666666 2 1029.42825 2 1029.6779999999999 3417.2177500000003 4104.98475 4794.7339999999995
120 3738 11 396 2051 1421.5 9 528 2945 2000.5 7 743 3978 2732.0 1 14 12 12 2 3 2 2 1046.7127500000001 2 1062.3362499999998 2 1062.5945 4573.0382500000005 5203.70875 5930.983499999999
126 10720 9 79 403 280.5 11 499 2902 1950.0 1 610 3384 2302.0 1 12 14 8 3 2 5 2 1009.3174166666666 2 1058.9421666666667 2 1059.0626666666667 3324.6522499999996 5138.226500000001 5504.988
159 10399 6 269 1264 901.0 1 436 2278 1575.0 12 580 2983 2071.5 4 9 8 13 5 5 1 2 1031.6993333333335 2 1051.4361666666666 2 1051.6124166666666 4021.9980000000005 4755.1085 5232.63725
161 3429 8 720 3839 2639.5 9 819 4812 3225.0 11 843 4802 3244.0 5 13 12 14 1 3 2 2 1084.95975 2 1096.753 2 1096.7504999999999 5900.67925 6531.459 6545.6515
188 11275 12 260 1401 960.5 6 843 4531 3108.5 1 881 4938 3350.0 2 13 9 8 1 5 5 2 1030.6835833333332 2 1099.48275 2 1099.5845 4058.8507499999996 6432.848249999999 6674.5535
194 4640 12 324 1753 1200.5 6 914 4910 3369.0 1 952 5317 3610.5 2 13 9 8 1 5 5 2 1038.2382499999999 2 1107.8608333333332 2 1107.9625833333332 4321.514749999999 6718.4825 6960.18775
197 10940 12 302 1634 1119.0 6 949 5242 3570.0 1 1108 5896 4056.0 2 13 9 8 1 5 5 2 1035.6418333333334 2 1112.0271666666667 2 1112.1906666666666 4232.2255000000005 6931.9815 7418.372
209 2799 1 144 669 478.5 5 405 2101 1455.5 6 466 2110 1521.0 1 8 6 9 5 10 5 2 1016.9672499999999 2 1047.77525 2 1047.7775 3555.20175 4649.42575 4690.2325
215 10793 8 178 1039 697.5 10 624 3761 2504.5 14 737 4131 2802.5 1 13 9 10 1 12 1 2 1021.0264166666667 2 1073.74025 2 1073.83275 3766.87925 5786.62075 6029.998250000001
229 8289 3 292 2319 1451.5 12 678 4380 2868.0 16 784 4890 3229.0 1 13 13 10 2 1 11 2 1034.6464166666667 2 1080.195 2 1080.3225 4566.7392500000005 6114.885 6525.9675
239 7417 9 275 1503 1026.5 6 411 2051 1436.5 7 430 2055 1457.5 11 12 9 12 3 5 2 3 20046.58483333333 3 20069.5255 3 20069.5275 61182.45449999999 61670.9765 61677.2825
273 1918 12 230 1293 876.5 6 680 3413 2386.5 1 718 3820 2628.0 7 13 9 8 1 5 5 3 20038.97983333333 3 20115.039833333332 3 20115.243333333332 60999.739499999996 62757.5195 62999.53
287 6111 5 414 2048 1438.0 1 490 2389 1684.5 6 823 3915 2780.5 1 6 8 9 10 5 5 2 1048.812 2 1057.7639166666668 2 1058.1454166666667 4635.036 4883.5917500000005 5980.83625
330 6033 8 633 3496 2381.0 13 793 4409 2997.5 14 1066 5981 4056.5 1 13 6 10 1 11 1 2 1074.724 2 1093.6189166666666 2 1094.0119166666666 5611.472 6333.956749999999 7344.53575
332 3192 12 677 3552 2453.0 6 962 5221 3572.5 2 1103 6237 4221.5 4 13 9 7 1 5 5 2 1079.8713333333333 2 1113.5385833333332 2 1113.7925833333334 5698.914 6939.0157500000005 7588.57775
345 11134 9 361 1876 1299.0 11 483 2667 1816.5 8 626 3467 2359.5 5 12 14 13 3 2 1 2 1042.5856666666666 2 1057.01675 2 1057.2167499999998 4442.956999999999 4998.95025 5537.45025
356 5371 11 560 3490 2305.0 8 844 4741 3214.5 9 809 4842 3230.0 1 14 13 12 2 1 3 2 1066.2058333333332 2 1099.6519166666667 2 1099.6771666666666 5515.0175 6519.75575 6545.2315
357 1323 11 607 3242 2228.0 9 645 3777 2533.5 8 763 4381 2953.5 1 14 12 13 2 3 1 2 1071.6271666666667 2 1076.19425 2 1076.34525 5454.2815 5778.28275 6188.83575
358 11174 12 517 3165 2099.5 3 491 4282 2632.0 6 1226 6893 4672.5 1 13 13 9 1 2 5 2 1061.1079166666666 2 1058.3538333333333 2 1059.0065833333333 5289.12375 5818.3615 7875.419749999999
