 order_index Customer_coordinate 1st_restaurant Duration_restaurant_1 Distance_restaurant_1 Route_cost_1 2nd_restaurant Duration_restaurant_2 Distance_restaurant_2 Route_cost_2 3rd_restaurant Duration_restaurant_3 Distance_restaurant_3 Route_cost_3 Pizza_order_amount production_time_restaurant_1 production_time_restaurant_2 production_time_restaurant_3 capacity_restaurant_1 capacity_restaurant_2 capacity_restaurant_3 Actual_production_time_1 Actual_production_time_2 Actual_production_time_3 vehicle_type_1 Min _vehicle_cost_1 vehicle_type_2 Min_vehicle_cost_2 vehicle_type_3 Min_vehicle_cost_3 Total_cost_restaurant_1 Total_cost_restaurant_2 Total_cost_restaurant_3
0 0 5441 7 2.87 892 618.0 2 8.23 2290 1639.0 13 8.95 3109 2091.5 2 12 7 6 2 5 11 12.0 14.0 12.0 2 1000.5578333333333 2 1001.5326666666666 2 1001.7374166666666 1424.846266666667 2448.2261333333336 2901.089933333333
1 14 1026 7 14.42 4741 3235.5 4 10.35 6229 3735.5 13 18.4 6072 4140.0 1 12 12 6 2 3 11 12.0 12.0 6.0 2 1002.8675833333333 2 1002.76475 2 1002.7255 4044.194066666667 4544.3118 4947.3804
2 16 10727 3 6.6 1825 1308.5 7 6.57 1855 1321.5 8 8.02 2341 1651.5 2 13 12 13 2 2 1 13.0 12.0 26.0 2 1001.22625 2 1001.23025 2 1001.35175 2116.3810000000008 2128.8842 2465.7814
3 24 1258 11 6.18 1941 1341.5 1 8.57 3103 2065.5 9 9.37 3272 2198.0 1 14 8 12 2 5 3 14.0 8.0 12.0 2 1001.20625 2 1001.7755833333333 2 1001.8178333333333 2149.865 2871.9204666666665 3006.054266666666
4 45 226 9 9.08 2849 1969.5 15 9.43 3289 2210.5 11 12.15 3894 2676.0 2 12 10 14 3 5 2 24.0 20.0 14.0 2 1001.7715833333334 2 1001.9224166666667 2 1002.0736666666666 2783.5172666666667 3023.037933333333 3485.0589333333332
5 59 11004 7 0.22 48 37.0 2 7.6 2164 1538.0 3 10.25 2817 2023.5 6 12 7 13 2 5 2 36.0 8.4 39.0 2 1000.0376666666666 2 1001.4276666666667 2 1001.5909166666668 855.4301333333333 2344.342133333333 2844.6727333333333
6 93 11232 4 5.9 2599 1653.5 13 11.33 4215 2787.5 7 19.97 6863 4629.5 2 12 6 12 3 11 2 24.0 12.0 12.0 2 1001.3380833333334 2 1002.3755833333333 2 1003.0375833333333 2467.1704666666665 3597.6004666666668 5438.330066666666
7 97 3969 13 6.78 2073 1443.5 0 8.1 2140 1556.0 6 9.53 3194 2169.0 1 6 12 9 11 1 5 6.0 12.0 9.0 2 1001.30925 2 1001.48 2 1001.7435 2249.7474 2363.384 2975.8948
8 100 11089 14 9.58 3144 2147.0 9 12.25 4676 3073.0 15 16.62 5827 3910.5 1 10 12 10 1 3 5 10.0 12.0 10.0 2 1001.9036666666666 2 1002.5981666666668 2 1002.8859166666667 2953.722933333333 3881.6785333333332 4718.808733333333
9 105 4872 13 4.0 1203 841.5 0 11.87 3173 2298.5 7 10.93 3351 2331.5 1 6 12 12 11 1 2 6.0 12.0 12.0 2 1000.7674166666667 2 1002.1780833333332 2 1002.2225833333333 1647.3139333333334 3106.4424666666664 3139.678066666667
10 120 1349 12 3.1 779 575.5 8 4.3 1537 1026.5 3 7.15 2518 1688.0 1 13 13 13 1 1 2 13.0 13.0 13.0 2 1000.5564166666667 2 1000.8859166666666 2 1001.1311666666667 1382.6451333333334 1833.9087333333332 2495.8049333333333
11 126 3738 12 6.95 2108 1471.0 10 8.82 2797 1927.5 8 12.53 4002 2753.0 1 13 9 13 1 12 1 13.0 9.0 13.0 2 1001.3378333333334 2 1001.72825 2 1002.0295 2278.770266666667 2735.7826 3561.3236
12 159 10720 10 2.52 737 519.5 2 8.98 2618 1848.0 12 10.07 2761 1984.5 4 9 7 13 12 5 1 36.0 28.0 52.0 2 1000.47825 2 1001.7021666666667 2 1001.7379166666667 1340.2826 2664.361733333333 2812.090333333333
13 161 10399 7 4.23 1210 859.0 2 6.17 2022 1381.0 13 8.93 2981 2026.5 5 12 7 6 2 5 11 30.0 7.0 30.0 2 1000.796 2 1001.2253333333333 2 1001.4650833333334 1675.0368 2186.4802666666665 2844.872066666667
14 188 3429 9 12.32 3937 2707.5 10 14.62 5017 3385.5 12 13.53 5162 3393.0 2 12 9 13 3 12 1 24.0 18.0 26.0 2 1002.4215833333333 2 1002.9599166666666 2 1002.9961666666666 3522.0372666666667 4199.2679333333335 4208.596933333333
15 194 11275 13 5.33 1791 1215.5 7 12.52 3999 2750.5 0 13.87 3916 2790.0 2 6 12 12 11 2 1 12.0 12.0 24.0 2 1001.0695833333334 2 1002.4604166666666 2 1002.4396666666668 2024.5556666666669 3558.8683333333333 3604.151733333333
16 197 4640 13 6.95 2168 1501.0 0 14.73 4082 2925.0 4 12.52 4405 2953.5 2 6 12 12 11 1 3 12.0 24.0 24.0 2 1001.3528333333335 2 1002.739 2 1002.81975 2310.282266666667 3739.3912 3768.3558
17 209 10940 13 9.68 3127 2144.5 4 9.32 4404 2761.0 7 17.02 5559 3800.5 1 6 12 12 11 3 2 6.0 12.0 12.0 2 1001.9110833333333 2 1002.1883333333334 2 1002.4770833333334 2951.2288666666664 3569.3506666666667 4608.881666666667
18 215 2799 2 3.45 984 699.0 0 6.88 2042 1434.0 7 7.85 2078 1510.0 1 7 12 12 5 1 2 7.0 12.0 12.0 2 1000.6485 2 1001.3131666666667 2 1001.3221666666667 1504.0188 2241.2505333333334 2317.4577333333336
19 229 10793 9 5.38 1556 1101.0 11 11.67 3970 2685.0 15 14.52 5039 3390.5 1 12 14 10 3 2 5 12.0 14.0 10.0 2 1001.0166666666668 2 1002.354 2 1002.62125 1908.4133333333332 3494.2832 4198.597
20 239 8289 4 8.02 3993 2477.5 13 12.97 4814 3185.0 17 16.65 5311 3654.5 11 12 6 10 3 11 3 44.0 6.0 36.66666666666666 3 20003.333166666667 3 20004.568666666666 3 20004.817166666668 18502.76653333333 19193.85493333333 19677.287066666668
21 273 7417 10 6.2 1911 1327.5 7 7.18 2109 1485.5 3 6.85 2166 1494.0 7 9 12 13 12 2 2 63.0 42.0 45.5 3 20001.988833333333 3 20002.251166666665 3 20002.279666666665 17362.99106666667 17508.700933333334 17518.973733333332
22 287 1918 13 3.1 940 656.0 7 9.75 3049 2109.5 0 12.12 3556 2505.0 1 6 12 12 11 2 1 6.0 12.0 12.0 2 1000.5966666666667 2 1001.89975 2 1002.0265 1461.6773333333335 2917.4198 3312.8212
23 330 6111 0 3.75 1064 757.0 2 8.62 2527 1780.5 6 9.82 3052 2115.0 1 12 7 9 1 5 5 12.0 7.0 9.0 2 1000.7035 2 1001.6374166666667 2 1001.7686666666667 1563.7628 2586.309933333333 2921.914933333333
24 332 6033 14 11.38 3610 2488.0 9 12.08 4328 2889.0 15 20.08 7125 4767.5 4 10 12 10 1 3 5 40.0 16.0 40.0 2 1002.2301666666667 2 1002.4913333333333 2 1003.1905833333333 3309.984133333333 3699.5930666666654 5591.052466666668
25 345 3192 4 11.28 5477 3415.5 7 18.05 6267 4216.5 13 17.7 6375 4249.5 5 12 12 6 3 2 11 20.0 30.0 30.0 2 1002.68525 2 1003.6725833333333 2 1003.6995833333333 4228.2482 5034.838066666666 5069.659666666666
26 356 11134 10 7.28 2144 1509.0 12 9.03 2978 2031.0 9 10.47 3445 2350.5 1 9 13 12 12 1 3 9.0 13.0 12.0 2 1001.3853333333333 2 1001.798 2 1001.91475 2317.0082666666667 2839.1384 3158.6318
27 357 5371 12 9.05 3634 2360.0 10 13.33 4415 3007.5 9 15.25 5037 3433.5 1 13 9 12 1 12 3 13.0 9.0 12.0 2 1001.9643333333332 2 1002.6589166666665 2 1002.8144166666666 3168.271466666666 3816.527133333334 4242.3515333333335
28 358 1323 12 10.47 3019 2137.5 10 10.58 3480 2375.0 9 13.38 4623 3114.5 1 13 9 12 1 12 3 13.0 9.0 12.0 2 1001.97625 2 1002.1043333333333 2 1002.3900833333333 2945.781 3183.583466666667 3923.012066666666
29 366 11174 4 4.77 2188 1380.0 13 10.93 3593 2452.5 7 20.1 6920 4666.0 1 12 6 12 3 11 2 12.0 6.0 12.0 2 1001.1035 2 1002.1734166666665 2 1003.0051666666667 2187.4828 3259.438733333333 5474.804133333333
30 371 3308 9 12.1 4136 2794.0 14 12.93 6512 4032.0 10 17.83 6366 4253.0 4 12 10 9 3 1 12 16.0 40.0 36.0 2 1002.4456666666665 2 1003.1365 2 1003.1 3604.556533333333 4854.7092 5075.879999999999
31 383 9186 13 5.37 1716 1180.0 7 6.15 1874 1306.0 2 8.47 2629 1822.5 2 6 12 7 11 2 5 12.0 12.0 14.0 2 1001.0555 2 1001.186 2 1001.37475 1989.0444 2113.3488 2631.5998
32 391 5676 7 3.77 1171 811.5 2 9.13 2569 1832.5 13 9.85 3388 2285.0 4 12 7 6 2 5 11 24.0 28.0 24.0 2 1000.7325833333333 2 1001.7074166666665 2 1001.9121666666666 1624.4860666666668 2648.865933333333 3100.729733333333
