 lat lon pizza_parallel pizza_production_minutes shoarma_parallel shoarma_production_minutes burger_parallel burger_production_minutes fries_parallel fries_production_minutes snack_parallel snack_production_minutes french_parallel french_production_minutes spanish_parallel spanish_production_minutes italian_parallel italian_production_minutes greek_parallel greek_production_minutes german_parallel german_production_minutes african_parallel african_production_minutes mexican_parallel mexican_production_minutes argentine_parallel argentine_production_minutes indian_parallel indian_production_minutes chinese_parallel chinese_production_minutes sushi_parallel sushi_production_minutes luxe_parallel luxe_production_minutes mon_open mon_close tue_open tue_close wed_open wed_close thu_open thu_close fri_open fri_close sat_open sat_close sun_open sun_close
0 48.839183 2.339248 0 0 0 0 0 0 2 6 0 0 0 0 0 0 0 0 9 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14:00 21:00 14:00 21:00 14:00 21:00 14:00 21:00 12:00 22:00 10:00 22:00 10:00 21:00
1 48.876954 2.370357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 3 0 0 00:00 00:00 12:00 22:00 12:00 22:00 12:00 22:00 12:00 23:00 12:00 23:00 12:00 21:00
2 48.852746 2.360534 0 0 0 0 0 0 4 6 0 0 8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13:00 22:00 13:00 22:00 13:00 22:00 13:00 22:00 11:00 23:00 09:00 22:00 10:00 21:00
3 48.854622 2.358803 1 12 0 0 6 14 6 9 0 0 6 14 0 0 2 16 0 0 5 12 0 0 0 0 0 0 0 0 0 0 0 0 6 31 13:00 21:00 13:00 21:00 13:00 21:00 13:00 21:00 12:00 22:00 09:00 00:00 10:00 21:00
4 48.852411 2.382525 0 0 0 0 0 0 0 0 0 0 0 0 10 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00:00 00:00 00:00 00:00 14:00 21:00 14:00 21:00 12:00 22:00 10:00 23:00 11:00 23:00
5 48.829248 2.326551 5 8 0 0 0 0 0 0 4 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14:00 01:00 14:00 01:00 14:00 01:00 14:00 01:00 14:00 01:00 08:00 01:00 09:00 23:00
6 48.865929 2.349476 5 7 0 0 0 0 0 0 0 0 0 0 0 0 8 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00:00 00:00 00:00 00:00 12:00 22:00 12:00 22:00 11:00 23:00 11:00 23:00 12:00 22:00
7 48.877284 2.313452 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 16 3 7 8 3 0 0 14:00 21:00 14:00 21:00 14:00 21:00 14:00 21:00 12:00 22:00 10:00 00:00 11:00 23:00
8 48.887842 2.354807 2 13 2 7 2 6 13 6 13 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00:00 00:00 14:00 23:00 14:00 23:00 14:00 23:00 14:00 23:00 08:00 00:00 09:00 22:00
9 48.845159 2.415046 3 12 4 7 5 6 13 3 15 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13:00 00:00 13:00 00:00 13:00 00:00 13:00 00:00 12:00 01:00 09:00 00:00 09:00 23:00
